iter	Passed	Remaining
0	0	68
1	1	59
2	1	55
3	2	51
4	2	50
5	3	49
6	3	48
7	4	47
8	4	46
9	5	45
10	5	45
11	6	44
12	6	43
13	7	43
14	7	43
15	8	42
16	8	41
17	9	41
18	9	40
19	9	39
20	10	39
21	10	38
22	11	38
23	11	37
24	12	37
25	13	37
26	13	37
27	14	37
28	15	36
29	15	36
30	16	36
31	16	35
32	17	35
33	17	34
34	18	33
35	18	33
36	19	33
37	20	32
38	20	32
39	21	31
40	21	30
41	22	30
42	22	29
43	22	29
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	36	16
69	37	15
70	37	15
71	38	14
72	38	14
73	39	13
74	39	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	7
85	45	7
86	46	6
87	46	6
88	47	5
89	47	5
90	48	4
91	48	4
92	49	3
93	49	3
94	49	2
95	50	2
96	51	1
97	51	1
98	52	0
99	52	0
